phiX	phiX174	phiX=5386
17729	Anaeromyxobacter sp. Fw109-5	NC_009675=5277990
shewLoihPV4	Shewanella loihica PV-4	chr=4602594
candPela_UBIQUE_HTCC1	Candidatus Pelagibacter ubique HTCC1062	chr=1308759
myxoXant_DK_1622	Myxococcus xanthus DK 1622	chr=9139763
9636	Rickettsia rickettsii str. 'Sheila Smith'	NC_009882=1257710
salmTyph_TY2	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	chr=4791961
chloChlo_CAD3	Chlorobium chlorochromatii CaD3	chr=2572079
mesoFlor_L1	Mesoplasma florum L1	chr=793224
28921	Acinetobacter baumannii	NC_010401=5644,NC_010402=9661,NC_010403=2726,NC_010404=94413,NC_010410=3936291
hermArse	Herminiimonas arsenicoxydans	chr=3424307
methMaze1	Methanosarcina mazei Go1	chr=4096345
17343	Sphingomonas wittichii RW1	NC_009508=222757,NC_009507=310228,NC_009511=5382261
99	Mycoplasma pneumoniae M129	NC_000912=816394
13643	Synechococcus sp. CC9605	NC_007516=2510659
13642	Synechococcus sp. WH 7803	NC_009481=2366980
lawsIntr_PHE_MN1_00	Lawsonia intracellularis PHE/MN1-00	plasmid_2=39794,plasmid_3=194553,chr=1457619,plasmid_1=27048
jannCCS1	Jannaschia sp. CCS1	chr=4317977,plasmid1=86072
91	Mycobacterium avium subsp. paratuberculosis K-10	NC_002944=4829781
90	Mycobacterium leprae TN	NC_002677=3268203
92	Mycobacterium smegmatis str. MC2 155	NC_008596=6988209
95	Tropheryma whipplei str. Twist	NC_004572=927303
13649	Xanthomonas campestris pv. vesicatoria str. 85-10	NC_007505=19146,NC_007504=1852,NC_007507=182572,NC_007506=38116,NC_007508=5178466
13885	Chlamydia trachomatis A/HAR-13	NC_007430=7510,NC_007429=1044459
13884	Rickettsia felis URRWXCal2	NC_007109=1485148,NC_007110=62829,NC_007111=39263
13887	Streptococcus pyogenes MGAS6180	NC_007296=1897573
13760	Corynebacterium glutamicum ATCC 13032	NC_006958=3282708
13888	Streptococcus pyogenes MGAS5005	NC_007297=1838554
ureaUrea	Ureaplasma parvum serovar 3 str. ATCC 700970	chr=751719
streCoel	Streptomyces coelicolor A3(2)	chr=8667507,plasmid_SCP2=31317,plasmid_SCP1=356023
orieTsut_BORYONG	Orientia tsutsugamushi str. Boryong	chr=2127051
polaJS66	Polaromonas sp. JS666	plasmid_2=338007,chr=5200264,plasmid_1=360405
rhodRubr_ATCC11170	Rhodospirillum rubrum ATCC 11170	chr=4352825,plasmid_unnamed=53732
rhodRHA1	Rhodococcus sp. RHA1	plasmid_pRHL1=1123075,chr=7804765,plasmid_pRHL3=332361,plasmid_pRHL2=442536
pireSp	Rhodopirellula baltica SH 1	chr=7145576
franTula_TULARENSIS	Francisella tularensis subsp. tularensis SCHU S4	chr=1892819
syneSp_WH8102	Synechococcus sp. WH 8102	chr=2434428
19521	Clostridium botulinum A str. Hall	NC_009698=3760560
238	Staphylococcus aureus subsp. aureus COL	NC_002951=2809422,NC_006629=4440
15660	Prochlorococcus marinus str. NATL1A	NC_008819=1864731
17823	Xylella fastidiosa M12	NC_010513=2475130
methPetr_PM1	Methylibium petroleiphilum PM1	chr=4044195,plasmid_RPME01=599444
237	Staphylococcus aureus subsp. aureus NCTC 8325	NC_007795=2821361
thioCrun_XCL_2	Thiomicrospira crunogena XCL-2	chr=2427734
haloHalo1	Halobacterium sp. NRC-1	chr=2014239,plasmid_pNRC100=191346,plasmid_pNRC200=365425
16190	Roseiflexus sp. RS-1	NC_009523=5801598
idioLoih_L2TR	Idiomarina loihiensis L2TR	chr=2839318
18637	Methylobacterium extorquens PA1	NC_010172=5471154
sodaGlos_MORSITANS	Sodalis glossinidius str. 'morsitans'	chr=4171146,plasmid_pSG3=10810,plasmid_pSG2=27240,plasmid_pSG1=83306
18633	Prochlorococcus marinus str. MIT 9215	NC_009840=1738790
mycoTube_H37RV	Mycobacterium tuberculosis H37Rv	chr=4411532
polyQLWP	Polynucleobacter sp. QLW-P1DMWA-1	chr=2159490
peloLute_DSM273	Pelodictyon luteolum DSM 273	chr=2364842
burkCeno_AU_1054	Burkholderia cenocepacia AU 1054	chr3=1196094,chr2=2788459,chr1=3294563
13942	Streptococcus sanguinis SK36	NC_009009=2388435
13943	Burkholderia mallei NCTC 10229	NC_008835=2284095,NC_008836=3458208
ente638	Enterobacter sp. 638	chr=4518712,plasmid_pENTE01=157749
13946	Burkholderia mallei NCTC 10247	NC_009080=3495687,NC_009079=2352693
13947	Burkholderia mallei SAVP1	NC_008784=1734922,NC_008785=3497479
16363	Streptococcus pyogenes MGAS9429	NC_008021=1836467
neorSenn_MIYAYAMA	Neorickettsia sennetsu str. Miyayama	chr=859006
heliAcin_SHEEBA	Helicobacter acinonychis str. Sheeba	chr=1553927,plasmid_pHac1=3661
16366	Streptococcus pyogenes MGAS10750	NC_008024=1937111
16365	Streptococcus pyogenes MGAS2096	NC_008023=1860355
13473	Nitrobacter hamburgensis X14	NC_007961=121408,NC_007960=188318,NC_007964=4406967,NC_007959=294829
burkCepa_AMMD	Burkholderia ambifaria AMMD	plasmid_1=43581,chr3=1281472,chr2=2646969,chr1=3556545
methMari_C5_1	Methanococcus maripaludis C5	chr=1780761,plasmid_pMMC501=8285
13478	Aster yellows witches'-broom phytoplasma AYWB	NC_007718=4009,NC_007719=5104,NC_007720=4316,NC_007716=706569,NC_007717=3972
13370	Actinobacillus succinogenes 130Z	NC_009655=2319663
methBark1	Methanosarcina barkeri str. Fusaro	chr=4837408,plasmid1=36358
geobMeta_GS15	Geobacter metallireducens GS-15	chr=3997420,plasmid_unnamed=13762
eschColi_CFT073	Escherichia coli CFT073	chr=5231428
metMar1	Methanococcus maripaludis S2	chr=1661137
enteFaec_V583	Enterococcus faecalis V583	chr=3218031,plasmid_pTEF1=66320,plasmid_pTEF3=17963,plasmid_pTEF2=57660
17265	Francisella tularensis subsp. holarctica OSU18	NC_008369=1895727
shigFlex_2A	Shigella flexneri 2a str. 301	chr=4607203,plasmid_pCP301=221618
erwiCaro_ATROSEPTICA	Pectobacterium atrosepticum SCRI1043	chr=5064019
pseuHalo_TAC125	Pseudoalteromonas haloplanktis TAC125	chrII=635328,chrI=3214944
17163	Campylobacter jejuni subsp. doylei 269.97	NC_009707=1845106
17161	Campylobacter curvus 525.92	NC_009715=1971264
10690	Mesorhizobium sp. BNC1	NC_008243=131247,NC_008242=343931,NC_008254=4412446,NC_008244=47561
10694	Ehrlichia canis str. Jake	NC_007354=1315030
10697	Mycoplasma mobile 163K	NC_006908=777079
25	Bordetella parapertussis 12822	NC_002928=4773551
26	Bordetella pertussis Tohama I	NC_002929=4086189
16841	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	NC_008610=1160782
sulfToko1	Sulfolobus tokodaii str. 7	chr=2694756
404	Lactobacillus brevis ATCC 367	NC_008498=13413,NC_008499=35595,NC_008497=2291220
403	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529=1856951
13920	Psychrobacter cryohalolentis K5	NC_007969=3059876,NC_007968=41221
401	Lactococcus lactis subsp. cremoris SK11	NC_008527=2438589,NC_008503=14041,NC_008504=9554,NC_008505=74750,NC_008506=47208,NC_008507=14206
16137	Bradyrhizobium sp. BTAi1	NC_009475=228826,NC_009485=8264687
uncuMeth_RCI	uncultured methanogenic archaeon RC-I	chr=3179916
coryEffi_YS_314	Corynebacterium efficiens YS-314	chr=3147090
13485	Parabacteroides distasonis ATCC 8503	NC_009615=4811379
409	Mycoplasma gallisepticum R	NC_004829=996422
28743	Yersinia pseudotuberculosis YPIII	NC_010465=4689441
19469	Escherichia coli SECEC SMS-3-5	NC_010488=130440,NC_010498=5068389,NC_010485=8909,NC_010486=4074,NC_010487=3565
psycArct_273_4	Psychrobacter arcticus 273-4	chr=2650701
propAcne_KPA171202	Propionibacterium acnes KPA171202	chr=2560265
acidJS42	Acidovorax sp. JS42	plasmid_pAOVO01=72689,chr=4448856,plasmid_pAOVO02=63609
chroSale_DSM3043	Chromohalobacter salexigens DSM 3043	chr=3696649
19065	Clostridium kluyveri DSM 555	NC_009466=59182,NC_009706=3964618
18801	Staphylococcus aureus subsp. aureus str. Newman	NC_009641=2878897
13151	Shigella sonnei Ss046	NC_009346=5153,NC_009345=8401,NC_009347=2101,NC_007385=214396,NC_007384=4825265
18965	Sulfurovum sp. NBC37-1	NC_009663=2562277
18963	Nitratiruptor sp. SB155-2	NC_009662=1877931
18809	Methylobacterium sp. 4-46	
tropWhip_TW08_27	Tropheryma whipplei TW08/27	chr=925938
28135	Bordetella petrii DSM 12804	NC_010170=5287950
natrPhar1	Natronomonas pharaonis DSM 2160	plasmid_PL23=23486,chr=2595221,plasmid_PL131=130989
370	Chlamydophila felis Fe/C-56	NC_007900=7552,NC_007899=1166239
377	Gluconacetobacter diazotrophicus PAl 5	NC_010123=16610,NC_010125=3944163,NC_010124=38818
rubrXyla_DSM9941	Rubrobacter xylanophilus DSM 9941	chr=3225748
15746	Prochlorococcus marinus str. MIT 9301	NC_009091=1641879
15747	Rhodopseudomonas palustris HaA2	NC_007778=5331656
18981	Finegoldia magna ATCC 29328	NC_010376=1797577,NC_010371=189163
franCcI3	Frankia sp. CcI3	chr=5433628
15749	Rhodopseudomonas palustris BisB5	NC_007958=4892717
16549	Janthinobacterium sp. Marseille	NC_009659=4110251
89	Mycobacterium bovis AF2122/97	NC_002945=4345492
12716	Citrobacter koseri ATCC BAA-895	NC_009792=4720462,NC_009793=9294,NC_009794=5601
82	Lactobacillus acidophilus NCFM	NC_006814=1993560
81	Clostridium tetani E88	NC_004557=2799251,NC_004565=74082
16095	Mycoplasma agalactiae PG2	NC_009497=877438
87	Corynebacterium diphtheriae NCTC 13129	NC_002935=2488635
84	Lactobacillus gasseri ATCC 33323	NC_008530=1894360
85	Listeria monocytogenes str. 4b F2365	NC_002973=2905187
20197	Francisella tularensis subsp. holarctica FTA	NC_009749=1890909
caldSacc_DSM8903	Caldicellulosiruptor saccharolyticus DSM 8903	chr=2970275
anabVari_ATCC29413	Anabaena variabilis ATCC 29413	plasmid_B=35762,plasmid_C=300758,chr=6365727,plasmid_A=366354
lactPlan	Lactobacillus plantarum WCFS1	chr=3308274,plasmid_pWCFS101=1917,plasmid_pWCFS103=36069,plasmid_pWCFS102=2365
carbHydr_Z_2901	Carboxydothermus hydrogenoformans Z-2901	chr=2401520
13617	Prochlorococcus marinus str. MIT 9515	NC_008817=1704176
10878	Bacillus anthracis str. Sterne	NC_005945=5228663
16067	Yersinia pestis Angola	NC_010158=114570,NC_010159=4504254,NC_010157=68190
16062	Leuconostoc citreum KM20	NC_010466=31463,NC_010467=17971,NC_010471=1796284,NC_010470=38713,NC_010469=12183
16148	Leptospira borgpetersenii serovar Hardjo-bovis JB197	NC_008511=299762,NC_008510=3576473
16146	Leptospira borgpetersenii serovar Hardjo-bovis L550	NC_008508=3614446,NC_008509=317336
vibrVuln_CMCP6_1	Vibrio vulnificus CMCP6	chrII=1844853,chrI=3281944
10877	Bacillus thuringiensis serovar konkukian str. 97-27	NC_006578=77112,NC_005957=5237682
19517	Clostridium botulinum A str. ATCC 19397	NC_009697=3863450
nitrWino_NB_255	Nitrobacter winogradskyi Nb-255	chr=3402093
16321	Bifidobacterium adolescentis ATCC 15703	NC_008618=2089645
17629	Pseudomonas putida GB-1	NC_010322=6078430
17237	Rickettsia bellii OSU 85-389	NC_009883=1528980
19519	Clostridium botulinum F str. Langeland	NC_009700=17531,NC_009699=3995387
mesoLoti	Mesorhizobium loti MAFF303099	chr=7036071,plasmid_pMLa=351911,plasmid_pMLb=208315
coxiBurn	Coxiella burnetii RSA 493	chr=1995281,plasmid_pQpH1=37393
247	Chlamydophila pneumoniae AR39	NC_002179=1229853
acidBact_ELLIN345	Acidobacteria bacterium Ellin345	chr=5650368
241	Salmonella typhimurium LT2	NC_003277=93939,NC_003197=4857432
16249	Bartonella bacilliformis KC583	NC_008783=1445021
12997	Acaryochloris marina MBIC11017	NC_009929=226680,NC_009928=273121,NC_009934=2133,NC_009932=155110,NC_009933=120693,NC_009930=177162,NC_009931=172728,NC_009925=6503724,NC_009927=356087,NC_009926=374161
xyleFast	Xylella fastidiosa 9a5c	plasmid_pXF1.3=1286,chr=2679306,plasmid_pXF51=51158
13435	Lactobacillus sakei subsp. sakei 23K	NC_007576=1884661
11752	Haemophilus influenzae 86-028NP	NC_007146=1914490
16393	Neisseria meningitidis 053442	NC_010120=2153416
16394	Thermoanaerobacter sp. X514	NC_010320=2457259
methKand1	Methanopyrus kandleri AV19	chr=1694969
bifiLong	Bifidobacterium longum NCC2705	chr=2256640,plasmid_pBLO1=3626
leptInte	Leptospira interrogans serovar Lai str. 56601	chrII=358943,chrI=4332241
burkCeno_HI2424	Burkholderia cenocepacia HI2424	plasmid_1=164857,chr3=1055417,chr2=2998664,chr1=3483902
16364	Streptococcus pyogenes MGAS10270	NC_008022=1928252
13875	Candidatus Blochmannia pennsylvanicus str. BPEN	NC_007292=791654
buchSp	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	chr=640681,plasmid_pTrp=7258,plasmid_pLeu=7786
178	Burkholderia pseudomallei K96243	NC_006351=3173005,NC_006350=4074542
176	Mycoplasma penetrans HF-2	NC_004432=1358633
pyroCali1	Pyrobaculum calidifontis JCM 11548	chr=2009313
chloTepi_TLS	Chlorobium tepidum TLS	chr=2154946
13282	Synechococcus elongatus PCC 6301	NC_006576=2696255
16800	Pseudomonas entomophila L48	NC_008027=5888780
picrTorr1	Picrophilus torridus DSM 9790	chr=1545895
shewANA3	Shewanella sp. ANA-3	plasmid_1=278942,chr1=4972204
13443	Listeria welshimeri serovar 6b str. SLCC5334	NC_008555=2814130
bdelBact	Bdellovibrio bacteriovorus HD100	chr=3782950
gramFors_KT0803	Gramella forsetii KT0803	chr=3798465
184	Clavibacter michiganensis subsp. sepedonicus	
189	Streptomyces avermitilis MA-4680	NC_004719=94287,NC_003155=9025608
clavMich_NCPPB_382	Clavibacter michiganensis subsp. michiganensis NCPPB 382	chr=3297891,plasmid_pCM1=27357,plasmid_pCM2=69989
peloCarb	Pelobacter carbinolicus DSM 2380	chr=3665893
20083	Campylobacter hominis ATCC BAA-381	NC_009713=3678,NC_009714=1711273
saliTrop_CNB_440	Salinispora tropica CNB-440	chr=5183331
17057	Borrelia afzelii PKo	NC_008277=905394,NC_008274=26533,NC_008273=30017,NC_008568=28533,NC_008569=24794,NC_008566=34273,NC_008567=32368,NC_008564=59958,NC_008565=59804
campJeju	Campylobacter jejuni subsp. jejuni NCTC 11168	chr=1641481
17053	Pseudomonas putida W619	NC_010501=5774330
12	Pseudomonas fluorescens PfO-1	NC_007492=6438405
15	Xanthomonas campestris pv. campestris str. 8004	NC_007086=5148708
12475	Wolbachia endosymbiont strain TRS of Brugia malayi	NC_006833=1080084
13217	Azoarcus sp. BH72	NC_008702=4376040
dehaEthe_195	Dehalococcoides ethenogenes 195	chr=1469720
methTherPT1	Methanosaeta thermophila PT	chr=1879471
shewMR7	Shewanella sp. MR-7	chr=4792610,plasmid1=6499
shewMR4	Shewanella sp. MR-4	chr=4706287
15708	Acidovorax avenae subsp. citrulli AAC00-1	NC_008752=5352772
19087	Ureaplasma parvum serovar 3 str. ATCC 27815	
geobUran_RF4	Geobacter uraniireducens Rf4	chr=5136364
shewDeni	Shewanella denitrificans OS217	chr=4545906
pyrFur2	Pyrococcus furiosus DSM 3638	chr=1908256
desuRedu_MI_1	Desulfotomaculum reducens MI-1	chr=3608104
syntFuma_MPOB	Syntrophobacter fumaroxidans MPOB	chr=4990251
278	Streptococcus pneumoniae R6	NC_003098=2038615
13654	Synechococcus sp. RCC307	NC_009482=2224914
13655	Synechococcus sp. CC9902	NC_007513=2234828
16313	Staphylococcus aureus subsp. aureus USA300	NC_007790=3125,NC_007791=4439,NC_007792=37136,NC_007793=2872769
legiPneu_PHILADELPHIA	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	chr=3397754
20391	Bacillus pumilus SAFR-032	NC_009848=3704465
chlaPneu_CWL029	Chlamydophila pneumoniae CWL029	chr=1230230
16259	Escherichia coli UTI89	NC_007946=5065741,NC_007941=114230
13067	Bacteroides fragilis YCH46	NC_006297=33716,NC_006347=5277274
gloeViol	Gloeobacter violaceus PCC 7421	chr=4659019
moorTher_ATCC39073	Moorella thermoacetica ATCC 39073	chr=2628784
323	Pseudomonas syringae pv. syringae B728a	NC_007005=6093698
320	Brucella suis 1330	NC_004311=1207381,NC_004310=2107794
roseDeni_OCH_114	Roseobacter denitrificans OCh 114	chr=5824
326	Streptococcus agalactiae A909	NC_007432=2127839
327	Pseudomonas fluorescens Pf-5	NC_004129=7074893
325	Ehrlichia chaffeensis str. Arkansas	NC_007799=1176248
329	Desulfovibrio desulfuricans G20	NC_007519=3730232
16203	Brucella melitensis biovar Abortus 2308	NC_007624=1156948,NC_007618=2121359
12950	Yersinia pseudotuberculosis IP 32953	NC_006153=68525,NC_006155=4744671,NC_006154=27702
heliPylo_26695	Helicobacter pylori 26695	chr=1667867
12952	Rickettsia canadensis str. McKiel	NC_009879=1159772
12953	Rickettsia akari str. Hartford	NC_009881=1231060
16208	Mycoplasma capricolum subsp. capricolum ATCC 27343	NC_007633=1010023
17375	Francisella tularensis subsp. tularensis FSC198	NC_008245=1892616
19259	Acholeplasma laidlawii PG-8A	NC_010163=1496992
77	Clostridium acetobutylicum ATCC 824	NC_003030=3940880,NC_001988=192000
74	Bacillus cereus ATCC 10987	NC_005707=208369,NC_003909=5224283
15770	Dehalococcoides sp. BAV1	NC_009455=1341892
79	Clostridium perfringens str. 13	NC_003042=54310,NC_003366=3031430
78	Clostridium difficile 630	NC_009089=4290252,NC_008226=7881
13624	Bacillus cereus subsp. cytotoxis NVH 391-98	NC_009674=4087024,NC_009673=7135
13623	Bacillus weihenstephanensis KBAB4	NC_010184=5262775,NC_010181=75107,NC_010180=417054,NC_010183=52830,NC_010182=64977
tricEryt_IMS101	Trichodesmium erythraeum IMS101	chr=7750108
photLumi	Photorhabdus luminescens subsp. laumondii TTO1	chr=5688987
peloTher_SI	Pelotomaculum thermopropionicum SI	chr=3025375
18789	Shewanella sediminis HAW-EB3	NC_009831=5517674
therKoda1	Thermococcus kodakarensis KOD1	chr=2088737
oceaIhey	Oceanobacillus iheyensis HTE831	chr=3630528
16297	Xanthomonas oryzae pv. oryzae MAFF 311018	NC_007705=4940217
19639	Methanococcus maripaludis C6	NC_009975=1744193
blocFlor	Candidatus Blochmannia floridanus	chr=705557
shewW318	Shewanella sp. W3-18-1	chr=4708380
16184	Clostridium phytofermentans ISDg	NC_010001=4847594
17477	Acinetobacter baumannii ATCC 17978	NC_009084=11302,NC_009085=3976747,NC_009083=13408
therElon	Thermosynechococcus elongatus BP-1	chr=2593857
13403	Bacillus amyloliquefaciens FZB42	NC_009725=3918589
17679	Petrotoga mobilis SJ95	NC_010003=2169548
16374	Streptococcus pneumoniae D39	NC_008533=2046115
16375	Shigella flexneri 5 str. 8401	NC_008258=4574284
methBoon1	Candidatus Methanoregula boonei 6A8	chr=2542943
mariMari_MCS10	Maricaulis maris MCS10	chr=3368780
ralsEutr_JMP134	Ralstonia eutropha JMP134	plasmid_1=87688,chr2=2726152,chr1=3806533,megaplasmid=634917
baciSubt	Bacillus subtilis subsp. subtilis str. 168	chr=4214630
16372	Buchnera aphidicola str. Cc (Cinara cedri)	NC_008513=416380
213	Prochlorococcus marinus subsp. pastoris str. CCMP1986	NC_005072=1657990
erytLito_HTCC2594	Erythrobacter litoralis HTCC2594	chr=3052398
acidCell_11B	Acidothermus cellulolyticus 11B	chr=2443540
pyrAer1	Pyrobaculum aerophilum str. IM2	chr=2222430
xantCamp	Xanthomonas campestris pv. campestris str. ATCC 33913	chr=5076188
thioDeni_ATCC25259	Thiobacillus denitrificans ATCC 25259	chr=2909809
28583	Chlamydia trachomatis 434/Bu	NC_010287=1038842
